,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,int_lot,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door,Total_spaces,Parking_features,Garage_spaces,Covered_spaces,Lot_size2,Lot_features,Property_levels,patio/porch_feature,Zoning,Structure_style,Property_SubType,Construction_material,Foundation,Property_condition,New_construction
123,https://www.zillow.com/homedetails/513-N-Elm-St-Mount-Prospect-IL-60056/3326120_zpid/,"309,900","513 N Elm St,"," Mount Prospect, IL 60056",Single Family Residence,1953,"7,579 sqft","1,280", 4, 1, 1,, Main, 117 , Eating Area-Table Space,,,,,,, 176 , None, Flooring(Hardwood), Main,," Full,Finished"," Hardwood, Some Carpeting, Some Wood Floors"," Natural Gas, Forced Air"," Central Air, 1 (Window/Wall Unit)"," Range, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s)"," Dry Bar, 1st Floor Bedroom",,, Garage,,," 7,579 sqft",, Two,,, Cape Cod, Single Family Residence," Aluminum Siding, Brick",,, No
124,https://www.zillow.com/homedetails/11800-S-Bishop-St-Chicago-IL-60643/4151569_zpid/,"140,000","11800 S Bishop St,"," Chicago, IL 60643",Single Family Residence,1970,"6,185 sqft","1,300", 3, 3, 1, 2, Main,,,,,,,,,,,,,," Full,Partially Finished",, Natural Gas, Central Air,,,, 2, Garage,, 2," 6,185 sqft",, Two,,, A-Frame, Single Family Residence, Frame,,, No
125,https://www.zillow.com/homedetails/4046-W-Arthington-St-Chicago-IL-60624/3812332_zpid/,"94,600","4046 W Arthington St,"," Chicago, IL 60624",Single Family Residence,1903,"2,090 sqft",831, 2, 1, 1,, Main, 90 ,,,,,,, Main, 132 ,,, Main,," Full,Unfinished",," Natural Gas, Forced Air", 2 (Window/Wall Unit),,,, 2, ,,," 2,090 sqft",, Two,,,, Single Family Residence, Frame,,, No
126,https://www.zillow.com/homedetails/17252-Burnham-Ave-Lansing-IL-60438/4290414_zpid/,"209,999","17252 Burnham Ave,"," Lansing, IL 60438",Single Family Residence,1971,No Data,--, 3, 3, 2, 1, Main, 100 , Eating Area-Table Space," Windows(None),Flooring(Carpet)", Basement, 336 ,,,, 216 ,, Flooring(Carpet), Main,," Full,Finished",," Natural Gas, Forced Air", Central Air," Range, Refrigerator, Washer, Dryer",,, 2, Garage,, 2,,, Raised Ranch,,, Ranch, Single Family Residence, Brick, Concrete Perimeter,, No
127,https://www.zillow.com/homedetails/2465-N-Clybourn-Ave-1-Chicago-IL-60614/2087830818_zpid/,"900,000","2465 N Clybourn Ave #1,"," Chicago, IL 60614",Condominium,2018,,"2,560", 4, 3, 2, 1, Main, 255 ," Eating Area-Breakfast Bar, Island, Pantry-Closet", Flooring(Porcelain Tile), Lower, 238 ,, Flooring(Hardwood), Main, 240 , Separate, Flooring(Hardwood), Main,," Full,English,Finished,Exterior Access"," Hardwood, Heated"," Natural Gas, Forced Air, Radiant", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Wine Refrigerator, Range Hood, Humidifier"," Wet Bar, Storage, Walk-In Closet(s)",, 1, Garage,, 1,,,," Patio, Roof Deck",,, Condominium," Brick, Limestone",,, No
128,https://www.zillow.com/homedetails/2658-Rhodes-Ave-River-Grove-IL-60171/3606022_zpid/,"270,000","2658 Rhodes Ave,"," River Grove, IL 60171",Single Family Residence,1958,"4,748 sqft","1,450", 3, 2, 2,, Main, 266 ,,,,,,, Main, 228 ,, Flooring(Hardwood), Main,," Partial,Finished",, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,, 2, Garage,, 2," 4,748 sqft",, Raised Ranch,,,, Single Family Residence, Brick,,, No
129,https://www.zillow.com/homedetails/2658-Rhodes-Ave-River-Grove-IL-60171/3606022_zpid/,"270,000","2658 Rhodes Ave,"," River Grove, IL 60171",Single Family Residence,1958,"4,748 sqft","1,450", 3, 2, 2,, Main, 266 ,,,,,,, Main, 228 ,, Flooring(Hardwood), Main,," Partial,Finished",, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,, 2, Garage,, 2," 4,748 sqft",, Raised Ranch,,,, Single Family Residence, Brick,,, No
130,https://www.zillow.com/homedetails/2465-N-Clybourn-Ave-1-Chicago-IL-60614/2087830818_zpid/,"900,000","2465 N Clybourn Ave #1,"," Chicago, IL 60614",Condominium,2018,,"2,560", 4, 3, 2, 1, Main, 255 ," Eating Area-Breakfast Bar, Island, Pantry-Closet", Flooring(Porcelain Tile), Lower, 238 ,, Flooring(Hardwood), Main, 240 , Separate, Flooring(Hardwood), Main,," Full,English,Finished,Exterior Access"," Hardwood, Heated"," Natural Gas, Forced Air, Radiant", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Wine Refrigerator, Range Hood, Humidifier"," Wet Bar, Storage, Walk-In Closet(s)",, 1, Garage,, 1,,,," Patio, Roof Deck",,, Condominium," Brick, Limestone",,, No
131,https://www.zillow.com/homedetails/1675-Maple-Ave-Hanover-Park-IL-60133/119090889_zpid/,"259,900","1675 Maple Ave,"," Hanover Park, IL 60133",Townhouse,2010,No Data,"1,724", 3, 3, 2, 1, Main, 154 ,,, Basement, 208 ,,,, 208 ,,, Main,," Full,English,Finished",," Natural Gas, Forced Air", Central Air,,,, 2, Garage - Attached,, 2,,,,,,, Townhouse," Vinyl Siding, Brick",,, No
132,https://www.zillow.com/homedetails/1675-Maple-Ave-Hanover-Park-IL-60133/119090889_zpid/,"259,900","1675 Maple Ave,"," Hanover Park, IL 60133",Townhouse,2010,No Data,"1,724", 3, 3, 2, 1, Main, 154 ,,, Basement, 208 ,,,, 208 ,,, Main,," Full,English,Finished",," Natural Gas, Forced Air", Central Air,,,, 2, Garage - Attached,, 2,,,,,,, Townhouse," Vinyl Siding, Brick",,, No
133,https://www.zillow.com/homedetails/1518-W-Schreiber-Ave-APT-1-Chicago-IL-60626/61959027_zpid/,"159,900","1518 W Schreiber Ave APT 1,"," Chicago, IL 60626",Condominium,1914,,700, 1, 1, 1,, Main, 90 ,,,,,, Flooring(Hardwood), Main, 156 , Separate, Flooring(Hardwood), Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator",,,, ,,,,,,,,, Condominium, Brick,,, No
134,https://www.zillow.com/homedetails/1400-W-Webster-Ave-APT-3E-Chicago-IL-60614/63696282_zpid/,"999,000","1400 W Webster Ave APT 3E,"," Chicago, IL 60614",Condominium,2002,,"2,261", 3, 3, 3,, Main, 162 ," Eating Area-Breakfast Bar, Island, Pantry-Walk-in",,,,, Flooring(Hardwood), Main, 195 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Range Hood"," 1st Floor Bedroom, 1st Floor Full Bath, Walk-In Closet(s)",, 2, Garage - Attached,, 2,," Common Grounds, Corner Lot",, Deck,,, Condominium, Brick, Concrete Perimeter,, No
135,https://www.zillow.com/homedetails/4945-Forster-Ave-Schiller-Park-IL-60176/3580572_zpid/,"329,900","4945 Forster Ave,"," Schiller Park, IL 60176",Single Family Residence,1970,"3,929 sqft","1,400", 4, 2, 2,, Main, 121 , Eating Area-Breakfast Bar," Windows(All),Flooring(Ceramic Tile)", Lower, 336 ,," Windows(All),Flooring(Ceramic Tile)", Main, 252 , Separate," Windows(All),Flooring(Ceramic Tile)", Main,," Full,Finished", Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Washer, Dryer, Stainless Steel Appliance(s)",,, 2, Garage - Attached,, 2," 3,929 sqft"," Corner Lot, Landscaped", Split Level,,,, Single Family Residence, Brick,,, No
136,https://www.zillow.com/homedetails/1715-Northfield-Sq-UNIT-A-Northfield-IL-60093/2071738907_zpid/,"249,000","1715 Northfield Sq UNIT A,"," Northfield, IL 60093",Condominium,1975,,--, 2, 2, 2,, Main, 108 , Eating Area-Table Space,,,,, Flooring(Carpet), Main, 192 , Combined w/ LivRm, Flooring(Wood Laminate), Main,, None,," Electric, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",," Sliding Doors, 6 Panel Door(s)", 1, Garage,, 1,, Common Grounds,, Patio,,, Condominium," Brick, Cedar", Concrete Perimeter,, No
137,https://www.zillow.com/homedetails/1529-W-Rosemont-Ave-APT-3S-Chicago-IL-60660/80835870_zpid/,"170,000","1529 W Rosemont Ave APT 3S,"," Chicago, IL 60660",Condominium,No Data,,700, 1, 1, 1,, Main, 104 ,,,,,, Flooring(Hardwood), Main, 209 ,, Flooring(Hardwood), Main,, None,," Natural Gas, Forced Air", Central Air," Microwave, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s)",,,, ,,,,,,,,, Condominium, Brick,,, No
138,https://www.zillow.com/homedetails/1715-Northfield-Sq-UNIT-A-Northfield-IL-60093/2071738907_zpid/,"249,000","1715 Northfield Sq UNIT A,"," Northfield, IL 60093",Condominium,1975,,--, 2, 2, 2,, Main, 108 , Eating Area-Table Space,,,,, Flooring(Carpet), Main, 192 , Combined w/ LivRm, Flooring(Wood Laminate), Main,, None,," Electric, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",," Sliding Doors, 6 Panel Door(s)", 1, Garage,, 1,, Common Grounds,, Patio,,, Condominium," Brick, Cedar", Concrete Perimeter,, No
139,https://www.zillow.com/homedetails/1207-E-161st-Pl-South-Holland-IL-60473/4260315_zpid/,"299,500","1207 E 161st Pl,"," South Holland, IL 60473",Single Family Residence,1963,"8,624 sqft","2,378", 4, 3, 2, 1, Main, 156 , Island," Windows(None),Flooring(Vinyl)", Basement, 342 ,," Windows(None),Flooring(Wood Laminate)", Main, 276 , Combined w/ LivRm," Windows(None),Flooring(Wood Laminate)", Main,," English,Finished",, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator",,, 2, Garage - Attached,, 2," 8,624 sqft",, Split Level,,, Tri-Level, Single Family Residence, Brick, Concrete Perimeter,, No
140,https://www.zillow.com/homedetails/17307-Roy-St-Lansing-IL-60438/4288739_zpid/,"136,900","17307 Roy St,"," Lansing, IL 60438",Single Family Residence,1956,"6,185 sqft",960, 3, 1, 1,, Main, 132 , Eating Area-Table Space,,,,,,, 264 ,," Windows(All),Flooring(Carpet)", Main, 960 ," Full,Unfinished",," Natural Gas, Forced Air", Central Air," Range, Microwave, Refrigerator, Washer, Dryer",,, 2, Garage,, 2," 6,185 sqft",, One,,, Ranch, Single Family Residence, Aluminum Siding,,, No
141,https://www.zillow.com/homedetails/1207-E-161st-Pl-South-Holland-IL-60473/4260315_zpid/,"299,500","1207 E 161st Pl,"," South Holland, IL 60473",Single Family Residence,1963,"8,624 sqft","2,378", 4, 3, 2, 1, Main, 156 , Island," Windows(None),Flooring(Vinyl)", Basement, 342 ,," Windows(None),Flooring(Wood Laminate)", Main, 276 , Combined w/ LivRm," Windows(None),Flooring(Wood Laminate)", Main,," English,Finished",, Natural Gas, Central Air," Range, Microwave, Dishwasher, Refrigerator",,, 2, Garage - Attached,, 2," 8,624 sqft",, Split Level,,, Tri-Level, Single Family Residence, Brick, Concrete Perimeter,, No
142,https://www.zillow.com/homedetails/1808-S-State-St-408-Chicago-IL-60616/2070190327_zpid/,"550,000","1808 S State St #408,"," Chicago, IL 60616",Condominium,2021,,--, 3, 2, 2,, Main, 150 , Eating Area-Breakfast Bar,,,,,, Main, 221 , Combined w/ LivRm, Flooring(Hardwood), Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal", Elevator,, 1, Garage - Attached,, 1,,,,,,, Condominium, Brick, Concrete Perimeter,, Yes
