,1/2_brs,Address,LotSize,Neighborhood,SalePrice,Type,YearBlt,appliances,basement_area,basement_qual,bathrooms,bedrooms,cooling_desc,dining_area,dining_desc,dining_level,dining_misc,family_area,family_desc,family_level,famly_misc,fooring_desc,full_brs,heat_desc,interior_desc,interior_door,kitchen_area,kitchen_level,kitchen_misc,living_desc,living_level,url
23,,"212 W Washington St #1807-1808,",," Chicago, IL 60606","700,000",Condominium,1913," Range, Microwave, Dishwasher, Refrigerator, High End Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Wine Refrigerator, Range Hood",, None, 4, 4, Central Air, 414 , Flooring(Hardwood), Main,,,,,," Hardwood, Some Wood Floors", 4," Natural Gas, Forced Air"," Storage, Built-in Features, Walk-In Closet(s), 10'  Ceiling, Open Floorplan, Doorman, Lobby",, 200 , Main," Eating Area-Breakfast Bar, Updated Kitchen", Flooring(Hardwood), Main,https://www.zillow.com/homedetails/212-W-Washington-St-1807-1808-Chicago-IL-60606/2070239946_zpid/
24,,"1309 S Avers Ave,",," Chicago, IL 60623","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zillow.com/homedetails/1309-S-Avers-Ave-Chicago-IL-60623/158719248_zpid/
25, 1,"4727 N Harding Ave,","3,136 sqft"," Chicago, IL 60625","449,000",Single Family Residence,1910," Range, Dishwasher, Refrigerator, Washer, Dryer, Range Hood",," None,Crawl", 4, 5," Central Air, Zoned", 140 , Flooring(Hardwood), Second, Separate, 209 , Flooring(Hardwood), Second,, Hardwood, 3, Forced Air," Vaulted/Cathedral Ceilings, 1st Floor Bedroom, In-Law Floorplan, 1st Floor Full Bath",, 150 , Second, Eating Area-Table Space, Flooring(Hardwood), Second,https://www.zillow.com/homedetails/4727-N-Harding-Ave-Chicago-IL-60625/3644295_zpid/
26, 1,"1537 Evergreen Ter,","8,276 sqft"," Glenview, IL 60025","485,000",Single Family Residence,1958," Range, Dishwasher, Refrigerator, Washer, Dryer",," Full,Finished", 3, 3, Central Air, 240 , Flooring(Carpet), Main, Combined w/ LivRm, 600 , Flooring(Vinyl), Basement,, Hardwood, 2," Natural Gas, Forced Air"," Wet Bar, 1st Floor Bedroom, 1st Floor Full Bath",, 208 , Main, Eating Area-Table Space, Flooring(Carpet), Main,https://www.zillow.com/homedetails/1537-Evergreen-Ter-Glenview-IL-60025/3348472_zpid/
27,,"9346 Landings Ln UNIT 506,",," Des Plaines, IL 60016","196,000",Condominium,1981," Double Oven, Range, Dishwasher, Refrigerator, Disposal",, None, 2, 2, Central Air, 252 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,,, 2," Electric, Forced Air", Wet Bar,, 72 , Main," Eating Area-Table Space, Pantry-Closet, Pantry"," Windows(Blinds),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/9346-Landings-Ln-UNIT-506-Des-Plaines-IL-60016/3480187_zpid/
28,,"550 N Saint Clair St APT 1003,",," Chicago, IL 60611","220,000",Condominium,2008," Range, Microwave, Dishwasher, High End Refrigerator, Freezer, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Cooktop",, None, 1, 0, Central Air, 252 ,,, None,,,,, Hardwood, 1," Natural Gas, Forced Air, Indv Controls"," Sauna, Elevator, Storage, Built-in Features, 10'  Ceiling, Doorman, Lobby",, 84 , Main," Galley, Updated Kitchen"," Windows(None),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/550-N-Saint-Clair-St-APT-1003-Chicago-IL-60611/117890748_zpid/
29,,"7434 Tiffany Dr,",No Data," Orland Park, IL 60462","349,900",Single Family Residence,1987," Range, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s), Range Hood",," None,Crawl", 2, 3, Central Air, 247 ," Windows(Double Pane Windows,Curtains/Drapes,Screens,Window Treatments),Flooring(Hardwood)",, L-shaped,," Windows(Curtains/Drapes,Insulated Windows,Window Treatments),Flooring(Carpet)",,," Hardwood, Some Wood Floors", 2, Natural Gas,," Sliding Doors, 36"" Minimum Entry Door, Sliding Glass Door(s)", 192 , Main," Eating Area-Table Space, Custom Cabinetry, Granite Counters, Updated Kitchen"," Windows(Bay Window(s),Screens),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/7434-Tiffany-Dr-Orland-Park-IL-60462/4186281_zpid/
30,,"4010 Monroe St APT 203,",," Bellwood, IL 60104","129,900",Condominium,No Data,,, None, 1, 2, 1 (Window/Wall Unit), 225 ,,,,,,,,, 1, Natural Gas,,, 126 , Second,,, Second,https://www.zillow.com/homedetails/4010-Monroe-St-APT-203-Bellwood-IL-60104/58363142_zpid/
31,,"208 Villa Rd,","6,599 sqft"," Streamwood, IL 60107","199,900",Single Family Residence,1970," Range, Refrigerator",," None,Crawl", 1, 3, Central Air, 192 ,,,,,,,,, 1," Natural Gas, Forced Air",,, 192 , Main, Eating Area-Table Space, Flooring(Wood Laminate), Main,https://www.zillow.com/homedetails/208-Villa-Rd-Streamwood-IL-60107/3388833_zpid/
32,,"1359 S Avers Ave,",," Chicago, IL 60623","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zillow.com/homedetails/1359-S-Avers-Ave-Chicago-IL-60623/158719252_zpid/
33, 1,"3521 W 64th St,","4,051 sqft"," Chicago, IL 60629","219,900",Single Family Residence,1886,,," Full,Walkout,Finished", 3, 3, Central Air, 143 , Flooring(Hardwood), Main,, 288 , Flooring(Ceramic Tile), Basement,,, 2," Natural Gas, Forced Air",,, 180 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/3521-W-64th-St-Chicago-IL-60629/3953257_zpid/
34, 1,"2780 Shannon Rd,",0.33 Acres," Northbrook, IL 60062","725,000",Single Family Residence,1967," Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Wine Refrigerator, Humidifier",," Full,Finished", 3, 5, Central Air, 338 ," Windows(Curtains/Drapes),Flooring(Hardwood)", Main, Separate, 368 ," Windows(None),Flooring(Hardwood)", Main,, Hardwood, 2," Natural Gas, Forced Air",,, 198 , Main," Eating Area-Breakfast Bar, Eating Area-Table Space, Pantry-Closet"," Windows(Curtains/Drapes),Flooring(Hardwood)", Main,https://www.zillow.com/homedetails/2780-Shannon-Rd-Northbrook-IL-60062/3334099_zpid/
35,,"3331 Flossmoor Rd,",0.92 Acres," Flossmoor, IL 60430","239,700",Single Family Residence,1946," Range, Microwave, Dishwasher, Refrigerator, Stainless Steel Appliance(s)",," None,Crawl", 2, 3, Central Air, 180 ,, Main, Separate,,,,,, 2," Natural Gas, Forced Air"," 1st Floor Bedroom, 1st Floor Full Bath",, 192 , Main," Eating Area-Table Space, Granite Counters, SolidSurfaceCounter, Updated Kitchen",, Main,https://www.zillow.com/homedetails/3331-Flossmoor-Rd-Flossmoor-IL-60430/4300220_zpid/
36, 1,"1909 Clinton Ave,","4,752 sqft"," Berwyn, IL 60402","524,200",Single Family Residence,1925,, 1440 ," Full,Finished", 4, 5, Central Air, 216 ,, Main,, 216 , Flooring(Ceramic Tile), Basement,, Hardwood, 3," Natural Gas, Forced Air"," Wet Bar, 1st Floor Bedroom, 1st Floor Full Bath, Built-in Features, Walk-In Closet(s), Bookcases, Center Hall Plan, 9' Ceilings, Coffered Ceiling(s), Open Floorplan, Dining Combo",, 225 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/1909-Clinton-Ave-Berwyn-IL-60402/3820082_zpid/
37, 1,"430 S Dryden Pl,","6,599 sqft"," Arlington Heights, IL 60005","399,000",Single Family Residence,1952," Range, Dishwasher, Washer, Dryer",, None, 2, 3, Central Air, 209 , Flooring(Hardwood), Main, Combined w/ LivRm, 176 , Flooring(Hardwood), Main,, Hardwood, 1," Natural Gas, Forced Air", Vaulted/Cathedral Ceilings,, 108 , Main, Eating Area-Table Space, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/430-S-Dryden-Pl-Arlington-Heights-IL-60005/3322822_zpid/
38, 1,"60 E Monroe St UNIT 1801,",," Chicago, IL 60603","1,025,000",Condominium,2009," Range, Microwave, Dishwasher, High End Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Cooktop",, None, 3, 3, Central Air, 396 , Flooring(Hardwood), Main, Combined w/ LivRm,,,,, Hardwood, 2," Electric, Indv Controls"," Walk-In Closet(s), Open Floorplan",, 112 , Main,, Flooring(Hardwood), Main,https://www.zillow.com/homedetails/60-E-Monroe-St-UNIT-1801-Chicago-IL-60603/118958435_zpid/
39,,"125 S Jefferson St UNIT 702,",," Chicago, IL 60661","399,000",Condominium,2003," Range, Dishwasher, Refrigerator, Microwave",, None, 2, 2, Central Air, 306 ,, Main,,,,,,, 2, Natural Gas,,, 108 , Main,,, Main,https://www.zillow.com/homedetails/125-S-Jefferson-St-UNIT-702-Chicago-IL-60661/65569964_zpid/
