,url,SalePrice,Address,Neighborhood,Type,YearBlt,LotSize,LotSize_2,bedrooms,bathrooms,full_brs,1/2_brs,kitchen_level,kitchen_area,kitchen_misc,family_desc,family_level,family_area,famly_misc,dining_desc,dining_level,dining_area,dining_misc,living_desc,living_level,basement_area,basement_qual,flooring_desc,heat_desc,cooling_desc,appliances,interior_desc,interior_door
57,https://www.zillow.com/homedetails/8121-S-Commercial-Ave-Chicago-IL-60617/2070203756_zpid/,"135,000","8121 S Commercial Ave,"," Chicago, IL 60617",Multi Family,1884,,--, 4, 3, 2, 1,,,,,,,,,,,,,,," Full,Unfinished",, Natural Gas,,,,
58,https://www.zillow.com/homedetails/8121-S-Commercial-Ave-Chicago-IL-60617/2070203756_zpid/,"135,000","8121 S Commercial Ave,"," Chicago, IL 60617",Multi Family,1884,,--, 4, 3, 2, 1,,,,,,,,,,,,,,," Full,Unfinished",, Natural Gas,,,,
59,https://www.zillow.com/homedetails/432-Andrew-Ln-Schaumburg-IL-60193/3430541_zpid/,"324,900","432 Andrew Ln,"," Schaumburg, IL 60193",Single Family Residence,1970,"9,304 sqft","2,400", 3, 3, 2, 1, Main, 306 ," Eating Area-Breakfast Bar, Custom Cabinetry, Granite Counters, Updated Kitchen", Flooring(Other), Basement, 1140 ,, Flooring(Hardwood), Main, 240 , Kitchen/Dining Combo," Windows(Blinds),Flooring(Hardwood)", Main, 1200 ," Full,Finished"," Hardwood, Some Wood Floors", Natural Gas, Central Air," Microwave, Dishwasher, Refrigerator, Washer, Dryer, Stainless Steel Appliance(s), Cooktop, Gas Cooktop"," Wet Bar, 1st Floor Bedroom, 1st Floor Full Bath, Built-in Features, Open Floorplan, Granite Counters",
60,https://www.zillow.com/homedetails/4606-River-Rd-APT-A4-Schiller-Park-IL-60176/60261246_zpid/,"99,900","4606 River Rd APT A4,"," Schiller Park, IL 60176",Condominium,1966,,600, 1, 1, 1,, Main, 70 , Eating Area-Breakfast Bar,,,,, Flooring(Porcelain Tile), Main, 209 , Combined w/ LivRm, Flooring(Wood Laminate), Main,," Full,Unfinished", Wood Laminate Floors, Baseboard, 1 (Window/Wall Unit)," Range, Refrigerator", Storage,
61,https://www.zillow.com/homedetails/1823-Grove-Ave-Schaumburg-IL-60193/49914904_zpid/,"245,000","1823 Grove Ave,"," Schaumburg, IL 60193",Townhouse,1997,No Data,"1,400", 2, 3, 2, 1, Main, 110 , Eating Area-Breakfast Bar,,,,," Windows(Blinds),Flooring(Wood Laminate)", Main, 192 , L-shaped," Windows(Blinds),Flooring(Wood Laminate)", Main,, None,," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,
62,https://www.zillow.com/homedetails/6545-W-81st-Pl-Burbank-IL-60459/3966126_zpid/,"364,900","6545 W 81st Pl,"," Burbank, IL 60459",Single Family Residence,No Data,0.50 Acres,"2,484", 3, 2, 2,, Main, 312 ,, Flooring(Carpet), Basement, 440 ,, Flooring(Ceramic Tile),, 196 ,, Flooring(Hardwood),,," Partial,Finished",," Natural Gas, Forced Air", Central Air,,,
63,https://www.zillow.com/homedetails/3010-S-Christiana-Ave-Chicago-IL-60623/2096703616_zpid/,"214,000","3010 S Christiana Ave,"," Chicago, IL 60623",Multi Family,1895,,--, 3, 2, 2,,,,,,,,,,,,,,,," None,Crawl",," Natural Gas, Space Heater",,,,
64,https://www.zillow.com/homedetails/3010-S-Christiana-Ave-Chicago-IL-60623/2096703616_zpid/,"214,000","3010 S Christiana Ave,"," Chicago, IL 60623",Multi Family,1895,,--, 3, 2, 2,,,,,,,,,,,,,,,," None,Crawl",," Natural Gas, Space Heater",,,,
65,https://www.zillow.com/homedetails/701-S-Wells-St-APT-1407-Chicago-IL-60607/65547401_zpid/,"205,000","701 S Wells St APT 1407,"," Chicago, IL 60607",Condominium,2002,,--, 1, 1, 1,, Main, 135 , Eating Area-Breakfast Bar,,,,,,, 255 ,, Flooring(Hardwood), Main,, None, Hardwood," Forced Air, Other", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,
66,https://www.zillow.com/homedetails/4510-W-Thomas-St-Chicago-IL-60651/2070204053_zpid/,"165,000","4510 W Thomas St,"," Chicago, IL 60651",Multi Family,1908,,--, 5, 2, 2,,,,,,,,,,,,,,,, None,, Natural Gas,,,,
67,https://www.zillow.com/homedetails/595-E-Parkway-Rd-Riverside-IL-60546/3778143_zpid/,"589,000","595 E Parkway Rd,"," Riverside, IL 60546",Single Family Residence,1942,"8,324 sqft","4,342", 5, 3, 2, 1, Main, 289 ," Eating Area-Table Space, Island",,,,, Flooring(Hardwood), Main, 288 , Separate, Flooring(Hardwood), Main,," Full,Partially Finished", Hardwood," Steam, Radiators", None," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Range Hood"," 1st Floor Full Bath, Walk-In Closet(s), Historic/Period Mlwk, Cocktail Lounge",
68,https://www.zillow.com/homedetails/595-E-Parkway-Rd-Riverside-IL-60546/3778143_zpid/,"589,000","595 E Parkway Rd,"," Riverside, IL 60546",Single Family Residence,1942,"8,324 sqft","4,342", 5, 3, 2, 1, Main, 289 ," Eating Area-Table Space, Island",,,,, Flooring(Hardwood), Main, 288 , Separate, Flooring(Hardwood), Main,," Full,Partially Finished", Hardwood," Steam, Radiators", None," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Range Hood"," 1st Floor Full Bath, Walk-In Closet(s), Historic/Period Mlwk, Cocktail Lounge",
69,https://www.zillow.com/homedetails/8525-W-Catherine-Ave-UNIT-174-Chicago-IL-60656/3581404_zpid/,"159,900","8525 W Catherine Ave UNIT 174,"," Chicago, IL 60656",Condominium,1979,,850, 2, 1, 1,, Main, 120 , Eating Area-Table Space,,,,,,, 400 ,," Windows(All),Flooring(Carpet)", Main,," Partial,Other",," Electric, Baseboard", 2 (Window/Wall Unit)," Range, Microwave, Dishwasher, Refrigerator",,
70,https://www.zillow.com/homedetails/7024-7026-S-Wentworth-Ave-W-Chicago-IL-60621/2070204144_zpid/,"390,000","7024-7026 S Wentworth Ave W,"," Chicago, IL 60621",Multi Family,1883,,--, 14, 4, 4,,,,,,,,,,,,,,,," Full,Walkout,Unfinished",, Natural Gas,,,,
71,https://www.zillow.com/homedetails/10808-Cook-Ave-Oak-Lawn-IL-60453/54541923_zpid/,"449,900","10808 Cook Ave,"," Oak Lawn, IL 60453",Single Family Residence,1999,"7,126 sqft","2,978", 4, 4, 3, 1, Main, 272 ,, Flooring(Carpet), Main, 221 ,, Flooring(Carpet), Main, 180 ,, Flooring(Carpet), Main,," Full,Finished",, Natural Gas, Central Air," Range, Dishwasher, Refrigerator, Washer, Dryer",,
72,https://www.zillow.com/homedetails/7632-S-Rhodes-Ave-Chicago-IL-60619/4006162_zpid/,"110,000","7632 S Rhodes Ave,"," Chicago, IL 60619",Single Family Residence,1909,"3,101 sqft","1,600", 4, 2, 2,, Main, 80 , Eating Area-Table Space,, Basement, 120 ,,, Main, 200 , Separate,, Main,," Full,Walkout,Finished,Exterior Access",," Natural Gas, Forced Air, Radiators", None,,,
73,https://www.zillow.com/homedetails/7047-S-May-St-Chicago-IL-60621/2119480437_zpid/,"171,900","7047 S May St,"," Chicago, IL 60621",Multi Family,1920,,--, 8, 3, 3,,,,,,,,,,,,,,,," Full,Finished",, Natural Gas,,,,
74,https://www.zillow.com/homedetails/3109-Hill-Ln-Wilmette-IL-60091/3370385_zpid/,"429,000","3109 Hill Ln,"," Wilmette, IL 60091",Single Family Residence,1957,"7,984 sqft","1,411", 4, 2, 2,, Main, 135 , Eating Area-Table Space, Flooring(Other), Lower, 210 ,, Flooring(Hardwood), Main, 475 , Combined w/ LivRm," Windows(Curtains/Drapes),Flooring(Hardwood)", Main,," None,Crawl", Hardwood," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer"," Vaulted/Cathedral Ceilings, In-Law Floorplan",
75,https://www.zillow.com/homedetails/7408-S-Yates-Blvd-Chicago-IL-60649/4002362_zpid/,"120,000","7408 S Yates Blvd,"," Chicago, IL 60649",Single Family Residence,1923,"3,789 sqft","1,200", 3, 1, 1,, Main, 80 , Eating Area-Table Space,,,,,, Main, 150 , Separate, Flooring(Hardwood), Main,," Full,Unfinished",," Natural Gas, Forced Air", None,,,
76,https://www.zillow.com/homedetails/8-W-Monroe-St-P-77-Chicago-IL-60603/119094362_zpid/,,"8 W Monroe St #P-77,"," Chicago, IL 60603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,https://www.zillow.com/homedetails/3900-Dundee-Rd-APT-103-Northbrook-IL-60062/2075739643_zpid/,"289,000","3900 Dundee Rd APT 103,"," Northbrook, IL 60062",Condominium,1973,,--, 2, 2, 2,, Main, 135 , Eating Area-Table Space,,,,," Windows(None),Flooring(Hardwood)", Main, 384 , Separate, Flooring(Carpet), Main,, None, Hardwood," Natural Gas, Forced Air", Central Air," Range, Dishwasher, Refrigerator"," Elevator, Storage",
78,https://www.zillow.com/homedetails/3008-S-Central-Park-Ave-Chicago-IL-60623/3826895_zpid/,"194,900","3008 S Central Park Ave,"," Chicago, IL 60623",Single Family Residence,No Data,"3,123 sqft",--, 3, 3, 3,, Main, 144 ,, Flooring(Ceramic Tile), Main, 187 ,, Flooring(Hardwood), Main, 132 ,, Flooring(Hardwood), Main,," Full,Finished",, Natural Gas, Central Air,,,
79,https://www.zillow.com/homedetails/8017-Country-Club-Ln-Riverside-IL-60546/3779280_zpid/,"429,000","8017 Country Club Ln,"," Riverside, IL 60546",Single Family Residence,1956,"6,011 sqft","1,800", 3, 2, 2,, Main, 176 , Galley, Flooring(Vinyl), Basement, 520 ,, Flooring(Hardwood), Main, 252 , Combined w/ LivRm, Flooring(Hardwood), Main,," Full,Finished,Exterior Access,Rec/Family Area"," Hardwood, Some Carpeting"," Natural Gas, Forced Air", Central Air,," Wet Bar, 1st Floor Bedroom, 1st Floor Full Bath, Built-in Features, Open Floorplan, Dining Combo", Some Storm Doors
80,https://www.zillow.com/homedetails/3008-S-Central-Park-Ave-Chicago-IL-60623/3826895_zpid/,"194,900","3008 S Central Park Ave,"," Chicago, IL 60623",Single Family Residence,No Data,"3,123 sqft",--, 3, 3, 3,, Main, 144 ,, Flooring(Ceramic Tile), Main, 187 ,, Flooring(Hardwood), Main, 132 ,, Flooring(Hardwood), Main,," Full,Finished",, Natural Gas, Central Air,,,
81,https://www.zillow.com/homedetails/8526-S-Karlov-Ave-Chicago-IL-60652/3973781_zpid/,"264,900","8526 S Karlov Ave,"," Chicago, IL 60652",Single Family Residence,No Data,No Data,"1,201", 3, 1, 1,, Main, 190 ,,,,,,,, 216 ,," Windows(Bay Window(s),Blinds),Flooring(Carpet)", Main, 1201 ," Full,Finished,Storage Space",, Natural Gas, Central Air,,,
82,https://www.zillow.com/homedetails/2750-W-Monroe-St-Chicago-IL-60612/245677878_zpid/,"569,000","2750 W Monroe St,"," Chicago, IL 60612",Single Family Residence,2021,No Data,"3,050", 4, 4, 3, 1, Main, 104 , Island, Flooring(Hardwood), Main, 221 ,, Flooring(Hardwood), Main, 336 , Combined w/ LivRm, Flooring(Hardwood), Main,," English,Finished"," Hardwood, Heated, Some Carpeting"," Natural Gas, Forced Air", Central Air," Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Stainless Steel Appliance(s), Range Hood, Humidifier"," Built-in Features, Walk-In Closet(s)",
